Image	x	y	width	height	score
5D0S5FKZ.jpg	916.356	632.521	55.9703	160.694	0.160811
5D0S5FKZ.jpg	4584.26	781.774	37.4702	106.848	-0.265581
5D0S5FKZ.jpg	3802.67	1036.06	88.2209	265.966	-0.37159
5D0S5FKZ.jpg	403.449	1199.17	35.9339	126.434	-0.419086
5D0S5FKZ.jpg	3731.48	999.385	84.5925	258.206	-0.447279
5D0S5FL0.jpg	2530.97	1214.01	41.5396	123.964	0.0715213
5D0S5FL0.jpg	1259.7	541.654	43.2457	139.493	-0.636083
5D0S5FL3.jpg	1798.84	700.155	104.649	309.564	-0.459499
5D0S5FL4.jpg	1422.61	754.693	70.3506	214.219	-0.246322
5D0S5FL4.jpg	1542.43	827.405	57.9224	174.251	-0.252226
5D0S5FLB.jpg	1789.88	433.699	48.2112	137.689	-0.284397
5D0S5FLB.jpg	4319.22	937.503	93.2202	285.732	-0.583042
5D0S5FLC.jpg	1420.99	749.255	69.6335	216.6	-0.319894
5D0S5FLE.jpg	1542.71	825.883	57.6504	174.016	0.122674
5D0S5FLE.jpg	1421.75	754.628	68.5027	208.718	-0.216866
5D0S5FLE.jpg	465.326	853.583	118.603	342.387	-0.573833
5D0S5FLG.jpg	1540.47	831.428	59.0214	168.73	-0.0472814
5D0S5FLG.jpg	2919.67	849.625	41.7629	116.795	-0.597795
5D0S5FLG.jpg	1425.94	762.43	60.1202	186.886	-0.626313
5D0S5FLH.jpg	3456.04	1229.06	48.5479	141.771	1.14001
5D0S5FLH.jpg	1724.3	464.69	55.5284	174.773	-0.442317
5D0S5FLH.jpg	1807.98	1118.2	54.4109	169.078	-0.63163
5D0S5FLJ.jpg	1541.54	846.334	50.4888	159.615	0.0255482
5D0S5FLJ.jpg	4488.01	1246.16	60.4912	191.522	-0.461973
5D0S5FLJ.jpg	1859.04	1126.48	37.5786	125.104	-0.610741
5D0S5FLK.jpg	3191.4	1200.67	43.4819	129.299	0.196304
5D0S5FLK.jpg	3906.77	1256.8	39.6729	120.219	-0.191724
5D0S5FLK.jpg	4087.13	1145.39	187.656	546.734	-0.475017
5D0S5FLM.jpg	1367.49	743.317	64.6013	206.362	-0.508485
5D0S5FLN.jpg	1540.36	822.584	62.0778	175.604	0.0449007
5D0S5FLO.jpg	2896.45	1209.36	41.8762	121.087	0.540506
5D0S5FLP.jpg	2505.86	640.545	40.855	120.845	-0.522249
5D0S5FLP.jpg	3843.77	1254.29	44.7451	135.601	-0.582789
5D0S5FLQ.jpg	189.836	1247.07	53.5997	155.069	-0.471728
5D0S5FLR.jpg	2624.94	1205.25	40.459	114.539	0.869965
5D0S5FLR.jpg	2600.18	1205.15	37.4783	113.553	-0.362302
